City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,uliastay,47.7417,96.8444,-16.42,70,20,3.2,MN,['dt']
83,yeniseysk,58.4497,92.1703,-12.79,92,100,3.32,RU,['dt']
84,petropavlovsk-kamchatsky,53.0452,158.6483,-10.67,62,75,3.0,RU,['dt']
85,patin-ay,8.5506,125.9372,28.28,77,100,1.09,PH,['dt']
86,faya-largeau,17.9257,19.1043,21.54,21,0,9.18,TD,['dt']
87,saint-philippe,-21.3585,55.7679,23.25,80,44,4.02,RE,['dt']
88,mossel bay,-34.1831,22.146,14.96,91,19,1.22,ZA,['dt']
89,sisimiut,66.9395,-53.6735,-5.75,65,99,3.07,GL,['dt']
90,olonkinbyen,70.9221,-8.7187,-0.85,85,100,16.4,SJ,['dt']
91,qarqaraly,49.4058,75.4742,-13.11,95,44,2.88,KZ,['dt']
92,crane,31.3974,-102.3501,19.87,62,2,11.13,US,['dt']
93,wailua homesteads,22.0669,-159.378,26.44,74,75,7.72,US,['dt']
94,palikir - national government center,6.9248,158.1611,31.41,66,40,3.6,FM,['dt']
95,susuman,62.7833,148.1667,-23.79,98,100,0.96,RU,['dt']
96,port elizabeth,-33.918,25.5701,16.84,99,100,3.6,ZA,['dt']
97,yuzhno-kurilsk,44.0306,145.8556,7.16,60,5,3.04,RU,['dt']
98,aldan,58.6031,125.3894,-24.8,95,59,0.53,RU,['dt']
99,bokoro,12.3807,17.0568,22.39,17,8,4.32,TD,['dt']
100,torres,-29.3353,-49.7269,19.78,92,99,5.38,BR,['dt']
101,mount gambier,-37.8333,140.7667,32.42,12,100,7.42,AU,['dt']
102,newman,37.3138,-121.0208,13.35,52,59,2.24,US,['dt']
103,anadyr,64.75,177.4833,-13.72,78,40,2.0,RU,['dt']
104,hermanus,-34.4187,19.2345,14.89,91,70,2.88,ZA,['dt']
105,riosucio,5.4216,-75.7032,16.5,98,86,0.5,CO,['dt']
106,campo gallo,-26.5833,-62.85,24.48,35,21,3.06,AR,['dt']
107,nova sintra,14.8667,-24.7167,25.01,65,100,3.74,CV,['dt']
108,uturoa,-16.7333,-151.4333,26.69,78,30,4.8,PF,['dt']
